15:25:16 | DEBUG   | EXTERN   | > TEXT '{"occurred":"2026-05-15T14:25:16.296966Z","even...94687f","follows":null}' [978 bytes]
15:25:16 | DEBUG   | EXTERN   | < TEXT '{"type":"auth_success"}' [23 bytes]
15:25:16 | DEBUG   | EXTERN   | > TEXT '{"occurred":"2026-05-15T14:25:16.324693Z","even...8f4a79","follows":null}' [1906 bytes]
15:25:16 | DEBUG   | EXTERN   | > TEXT '{"occurred":"2026-05-15T14:25:16.326700Z","even...34d-9037-2419058f4a79"}' [2051 bytes]
15:25:16 | DEBUG   | EXTERN   | > TEXT '{"occurred":"2026-05-15T14:25:16.405712Z","even...195-abff-738b6343a8fc"}' [2134 bytes]
15:25:16 | DEBUG   | EXTERN   | > TEXT '{"occurred":"2026-05-15T14:25:16.296966Z","even...c9a897","follows":null}' [989 bytes]
15:25:16 | DEBUG   | EXTERN   | > TEXT '{"occurred":"2026-05-15T14:25:16.326700Z","even...437a44","follows":null}' [1941 bytes]
15:25:16 | DEBUG   | EXTERN   | > TEXT '{"occurred":"2026-05-15T14:25:16.326701Z","even...76b-85bc-044d1b437a44"}' [2086 bytes]
15:25:16 | DEBUG   | EXTERN   | > TEXT '{"occurred":"2026-05-15T14:25:16.427660Z","even...b62-913d-c36f8c3dd25d"}' [2169 bytes]
15:25:17 | DEBUG   | EXTERN   | > CLOSE 1000 (OK) [2 bytes]
15:25:17 | DEBUG   | EXTERN   | = connection is CLOSING
15:25:17 | DEBUG   | EXTERN   | < CLOSE 1000 (OK) [2 bytes]
15:25:17 | DEBUG   | EXTERN   | < EOF
15:25:17 | DEBUG   | EXTERN   | > EOF
15:25:17 | DEBUG   | EXTERN   | = connection is CLOSED
15:25:17 | DEBUG   | EXTERN   | x half-closing TCP connection
15:25:17 | DEBUG   | EXTERN   | > CLOSE 1000 (OK) [2 bytes]
15:25:17 | DEBUG   | EXTERN   | = connection is CLOSING
15:25:17 | DEBUG   | EXTERN   | < CLOSE 1000 (OK) [2 bytes]
15:25:17 | DEBUG   | EXTERN   | < EOF
15:25:17 | DEBUG   | EXTERN   | > EOF
15:25:17 | DEBUG   | EXTERN   | = connection is CLOSED
15:25:17 | DEBUG   | EXTERN   | x half-closing TCP connection
